Go Id,contig
GO:0000009,"vpl_contig_18129
"
GO:0000023,"vpl_contig_35089
"
GO:0000023,"vpl_contig_53542
"
GO:0000045,"vpl_contig_69103
"
GO:0000062,"vpl_contig_45471
"
GO:0000064,"vpl_contig_25360
"
GO:0000070,"vpl_contig_34176
"
GO:0000096,"vpl_contig_13588
"
GO:0000096,"vpl_contig_486
"
GO:0000096,"vpl_contig_6418
"
GO:0000096,"vpl_contig_6479
"
GO:0000103,"vpl_contig_31388
"
GO:0000105,"vpl_contig_86842
"
GO:0000122,"vpl_contig_99215
"
GO:0000123,"vpl_contig_29360
"
GO:0000139,"vpl_contig_27253
"
GO:0000139,"vpl_contig_40257
"
GO:0000139,"vpl_contig_45289
"
GO:0000139,"vpl_contig_48142
"
GO:0000139,"vpl_contig_48253
"
GO:0000139,"vpl_contig_55908
"
GO:0000139,"vpl_contig_77455
"
GO:0000139,"vpl_contig_85212
"
GO:0000145,"vpl_contig_23619
"
GO:0000150,"vpl_contig_29040
"
GO:0000155,"vpl_contig_27122
"
GO:0000160,"vpl_contig_27122
"
GO:0000165,"vpl_contig_13908
"
GO:0000165,"vpl_contig_16559
"
GO:0000165,"vpl_contig_23400
"
GO:0000165,"vpl_contig_5202
"
GO:0000165,"vpl_contig_5533
"
GO:0000165,"vpl_contig_56355
"
GO:0000165,"vpl_contig_58207
"
GO:0000165,"vpl_contig_6418
"
GO:0000165,"vpl_contig_6479
"
GO:0000165,"vpl_contig_73173
"
GO:0000165,"vpl_contig_76571
"
GO:0000165,"vpl_contig_8369
"
GO:0000165,"vpl_contig_92032
"
GO:0000166,"vpl_contig_101276
"
GO:0000166,"vpl_contig_10361
"
GO:0000166,"vpl_contig_106060
"
GO:0000166,"vpl_contig_106363
"
GO:0000166,"vpl_contig_111850
"
GO:0000166,"vpl_contig_12476
"
GO:0000166,"vpl_contig_13056
"
GO:0000166,"vpl_contig_13691
"
GO:0000166,"vpl_contig_17025
"
GO:0000166,"vpl_contig_17036
"
GO:0000166,"vpl_contig_17935
"
GO:0000166,"vpl_contig_17938
"
GO:0000166,"vpl_contig_18351
"
GO:0000166,"vpl_contig_18779
"
GO:0000166,"vpl_contig_20622
"
GO:0000166,"vpl_contig_21576
"
GO:0000166,"vpl_contig_22241
"
GO:0000166,"vpl_contig_24745
"
GO:0000166,"vpl_contig_25644
"
GO:0000166,"vpl_contig_25761
"
GO:0000166,"vpl_contig_27164
"
GO:0000166,"vpl_contig_27265
"
GO:0000166,"vpl_contig_29262
"
GO:0000166,"vpl_contig_31164
"
GO:0000166,"vpl_contig_31241
"
GO:0000166,"vpl_contig_31729
"
GO:0000166,"vpl_contig_31958
"
GO:0000166,"vpl_contig_3291
"
GO:0000166,"vpl_contig_33251
"
GO:0000166,"vpl_contig_33268
"
GO:0000166,"vpl_contig_33495
"
GO:0000166,"vpl_contig_3464
"
GO:0000166,"vpl_contig_37247
"
GO:0000166,"vpl_contig_37312
"
GO:0000166,"vpl_contig_37770
"
GO:0000166,"vpl_contig_4051
"
GO:0000166,"vpl_contig_41364
"
GO:0000166,"vpl_contig_43951
"
GO:0000166,"vpl_contig_45214
"
GO:0000166,"vpl_contig_45654
"
GO:0000166,"vpl_contig_45755
"
GO:0000166,"vpl_contig_45837
"
GO:0000166,"vpl_contig_47636
"
GO:0000166,"vpl_contig_48985
"
GO:0000166,"vpl_contig_49362
"
GO:0000166,"vpl_contig_4962
"
GO:0000166,"vpl_contig_50514
"
GO:0000166,"vpl_contig_50515
"
GO:0000166,"vpl_contig_50880
"
GO:0000166,"vpl_contig_51449
"
GO:0000166,"vpl_contig_5366
"
GO:0000166,"vpl_contig_53919
"
GO:0000166,"vpl_contig_55096
"
GO:0000166,"vpl_contig_57785
"
GO:0000166,"vpl_contig_58449
"
GO:0000166,"vpl_contig_58901
"
GO:0000166,"vpl_contig_59178
"
GO:0000166,"vpl_contig_61439
"
GO:0000166,"vpl_contig_61768
"
GO:0000166,"vpl_contig_64063
"
GO:0000166,"vpl_contig_65028
"
GO:0000166,"vpl_contig_6515
"
GO:0000166,"vpl_contig_66481
"
GO:0000166,"vpl_contig_68845
"
GO:0000166,"vpl_contig_69297
"
GO:0000166,"vpl_contig_70411
"
GO:0000166,"vpl_contig_70585
"
GO:0000166,"vpl_contig_72644
"
GO:0000166,"vpl_contig_73617
"
GO:0000166,"vpl_contig_7455
"
GO:0000166,"vpl_contig_75310
"
GO:0000166,"vpl_contig_75693
"
GO:0000166,"vpl_contig_77375
"
GO:0000166,"vpl_contig_78234
"
GO:0000166,"vpl_contig_78399
"
GO:0000166,"vpl_contig_84894
"
GO:0000166,"vpl_contig_88427
"
GO:0000166,"vpl_contig_91209
"
GO:0000166,"vpl_contig_93441
"
GO:0000186,"vpl_contig_13908
"
GO:0000186,"vpl_contig_16559
"
GO:0000186,"vpl_contig_5202
"
GO:0000186,"vpl_contig_73173
"
GO:0000186,"vpl_contig_8369
"
GO:0000186,"vpl_contig_92032
"
GO:0000209,"vpl_contig_8078
"
GO:0000226,"vpl_contig_35273
"
GO:0000254,"vpl_contig_51592
"
GO:0000254,"vpl_contig_56132
"
GO:0000266,"vpl_contig_91262
"
GO:0000271,"vpl_contig_62725
"
GO:0000271,"vpl_contig_7800
"
GO:0000278,"vpl_contig_18046
"
GO:0000278,"vpl_contig_29948
"
GO:0000280,"vpl_contig_7139
"
GO:0000280,"vpl_contig_8409
"
GO:0000287,"vpl_contig_12488
"
GO:0000287,"vpl_contig_46766
"
GO:0000287,"vpl_contig_48351
"
GO:0000287,"vpl_contig_55633
"
GO:0000287,"vpl_contig_5922
"
GO:0000290,"vpl_contig_24978
"
GO:0000347,"vpl_contig_17719
"
GO:0000347,"vpl_contig_21757
"
GO:0000347,"vpl_contig_37622
"
GO:0000380,"vpl_contig_517
"
GO:0000398,"vpl_contig_18116
"
GO:0000400,"vpl_contig_29040
"
GO:0000418,"vpl_contig_104423
"
GO:0000421,"vpl_contig_69103
"
GO:0000462,"vpl_contig_10194
"
GO:0000462,"vpl_contig_19878
"
GO:0000462,"vpl_contig_28297
"
GO:0000462,"vpl_contig_30188
"
GO:0000462,"vpl_contig_34906
"
GO:0000462,"vpl_contig_42162
"
GO:0000462,"vpl_contig_46144
"
GO:0000502,"vpl_contig_30008
"
GO:0000502,"vpl_contig_33112
"
GO:0000502,"vpl_contig_40125
"
GO:0000578,"vpl_contig_26684
"
GO:0000707,"vpl_contig_29040
"
GO:0000723,"vpl_contig_28253
"
GO:0000723,"vpl_contig_95742
"
GO:0000784,"vpl_contig_39918
"
GO:0000785,"vpl_contig_15877
"
GO:0000818,"vpl_contig_34176
"
GO:0000832,"vpl_contig_75960
"
GO:0000902,"vpl_contig_37959
"
GO:0000902,"vpl_contig_66144
"
GO:0000902,"vpl_contig_72420
"
GO:0000911,"vpl_contig_23748
"
GO:0000911,"vpl_contig_61321
"
GO:0000913,"vpl_contig_17488
"
GO:0000977,"vpl_contig_99215
"
GO:0001046,"vpl_contig_31058
"
GO:0001046,"vpl_contig_31223
"
GO:0001078,"vpl_contig_99215
"
GO:0001104,"vpl_contig_116106
"
GO:0001228,"vpl_contig_31058
"
GO:0001510,"vpl_contig_19072
"
GO:0001510,"vpl_contig_40002
"
GO:0001522,"vpl_contig_13778
"
GO:0001522,"vpl_contig_13779
"
GO:0001522,"vpl_contig_21668
"
GO:0001522,"vpl_contig_21669
"
GO:0001558,"vpl_contig_46790
"
GO:0001558,"vpl_contig_46791
"
GO:0001666,"vpl_contig_25995
"
GO:0001666,"vpl_contig_56355
"
GO:0001666,"vpl_contig_58207
"
GO:0001666,"vpl_contig_58802
"
GO:0001676,"vpl_contig_4087
"
GO:0001676,"vpl_contig_4088
"
GO:0001708,"vpl_contig_8184
"
GO:0001758,"vpl_contig_1748
"
GO:0001758,"vpl_contig_35175
"
GO:0001927,"vpl_contig_23619
"
GO:0001944,"vpl_contig_46790
"
GO:0001944,"vpl_contig_46791
"
GO:0002221,"vpl_contig_10053
"
GO:0002229,"vpl_contig_19452
"
GO:0002229,"vpl_contig_5533
"
GO:0002237,"vpl_contig_134491
"
GO:0002237,"vpl_contig_16878
"
GO:0002237,"vpl_contig_5452
"
GO:0002237,"vpl_contig_56355
"
GO:0002237,"vpl_contig_58207
"
GO:0002679,"vpl_contig_67748
"
GO:0003002,"vpl_contig_52843
"
GO:0003333,"vpl_contig_34609
"
GO:0003333,"vpl_contig_53931
"
GO:0003333,"vpl_contig_79481
"
GO:0003676,"vpl_contig_100162
"
GO:0003676,"vpl_contig_10050
"
GO:0003676,"vpl_contig_102522
"
GO:0003676,"vpl_contig_10349
"
GO:0003676,"vpl_contig_104387
"
GO:0003676,"vpl_contig_111850
"
GO:0003676,"vpl_contig_111978
"
GO:0003676,"vpl_contig_114094
"
GO:0003676,"vpl_contig_11434
"
GO:0003676,"vpl_contig_11621
"
GO:0003676,"vpl_contig_12476
"
GO:0003676,"vpl_contig_128910
"
GO:0003676,"vpl_contig_13529
"
GO:0003676,"vpl_contig_14354
"
GO:0003676,"vpl_contig_17003
"
GO:0003676,"vpl_contig_17736
"
GO:0003676,"vpl_contig_17796
"
GO:0003676,"vpl_contig_19557
"
GO:0003676,"vpl_contig_19995
"
GO:0003676,"vpl_contig_20587
"
GO:0003676,"vpl_contig_21005
"
GO:0003676,"vpl_contig_21175
"
GO:0003676,"vpl_contig_22984
"
